id,name,description,risk,category,area,source,docs
cleanup.internet-temp-files,Clear Temporary Internet Files,"Clears legacy WinINet cache (INetCache, INetCookies, WebCache, History). Used by Explorer, old Control Panel, and some installers.",Safe,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/ClearTemporaryInternetFilesTweak.cs#L11,Docs/cleanup/cleanup.md
cleanup.memory-dumps,Clear Memory Dump Files,Deletes %WINDIR%\\MEMORY.DMP and files under %WINDIR%\\Minidump.,Safe,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/ClearMemoryDumpFilesTweak.cs#L11,Docs/cleanup/cleanup.md
cleanup.prefetch-files,Clear Prefetch Files,Clears Windows prefetch files from %WINDIR%\\Prefetch. Files may be regenerated by Windows over time.,Safe,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/ClearPrefetchFilesTweak.cs#L11,Docs/cleanup/cleanup.md
cleanup.product-key,Remove Product Key from Registry,Runs slmgr.vbs /cpky to remove the Windows product key from the registry. Rollback does not restore the key automatically.,Advanced,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/RemoveProductKeyTweak.cs#L14,Docs/cleanup/cleanup.md
cleanup.recycle-bin,Empty Recycle Bin,Empties the Recycle Bin for all drives. Files cannot be recovered after deletion.,Safe,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/ClearRecycleBinTweak.cs#L14,Docs/cleanup/cleanup.md
cleanup.shadow-copies,Clear Shadow Copies,Removes all shadow copies (volume backups) to free up disk space. WARNING: This permanently removes System Restore points and volume snapshots.,Risky,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/ClearShadowCopiesTweak.cs#L14,Docs/cleanup/cleanup.md
cleanup.srum-data,Clear SRUM Database,"Deletes the System Resource Usage Monitor (SRUM) database which tracks app, service, and network usage.",Advanced,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/ClearSRUMDataTweak.cs#L11,Docs/cleanup/cleanup.md
cleanup.temp-files,Clear Temporary Files,Deletes temporary files from user and system temp folders. Files in use will be skipped.,Safe,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/ClearTemporaryFilesTweak.cs#L11,Docs/cleanup/cleanup.md
cleanup.thumbnail-cache,Clear Thumbnail Cache,Clears Explorer thumbnail cache files. Thumbnails will be regenerated when needed.,Safe,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/ClearThumbnailCacheTweak.cs#L11,Docs/cleanup/cleanup.md
cleanup.wer-files,Clear Windows Error Reporting Files,Deletes Windows Error Reporting (WER) crash dumps and report metadata from system and user folders.,Safe,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/ClearWERFilesTweak.cs#L11,Docs/cleanup/cleanup.md
cleanup.windows-old,Delete Windows.old Folder,Removes previous Windows installation files from Windows.old. WARNING: You will not be able to roll back to the previous Windows version after deletion.,Risky,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/ClearWindowsOldTweak.cs#L10,Docs/cleanup/cleanup.md
cleanup.windows-update-cache,Clear Windows Update Cache,Resets the Windows Update cache directories (SoftwareDistribution and catroot2). Windows Update metadata will be downloaded again.,Advanced,Cleanup,Cleanup,engine/Tweaks/Commands/Cleanup/ClearWindowsUpdateCacheTweak.cs#L11,Docs/cleanup/cleanup.md
developer.docker-performance,Docker Desktop WSL 2 Backend,Docker Desktop can use the WSL 2 backend on Windows. The app writes Docker's documented settings-file field and does not claim a measured performance change.,Medium,Developer,Registry,research/records/developer.docker-performance.review.json,Docs/tweaks/tweaks.md
developer.dotnet-telemetry-disable,.NET CLI Telemetry Opt-Out,The .NET SDK and CLI can send telemetry about tool usage. This tweak sets the current user's opt-out environment variable so new .NET CLI sessions stop sending that telemetry.,Medium,Developer,Registry,research/records/developer.dotnet-telemetry-disable.json,Docs/tweaks/tweaks.md
developer.enable-windows-long-paths,Windows Long Paths,"Windows can remove the old 260-character path limit. That helps many compatible applications, especially developer tools and projects with very deep folder trees.",Medium,Developer,Registry,research/records/developer.enable-windows-long-paths.review.json,Docs/tweaks/tweaks.md
developer.nodejs-performance,Global Node.js Memory Limit Override,"This tweak makes Node.js start with a larger memory limit by default. It can help very large builds or monorepos, but it also makes Node processes use more memory budget.",Medium,Developer,Registry,research/records/developer.nodejs-performance.json,Docs/tweaks/tweaks.md
developer.powershell-execution,PowerShell Script Execution Policy,PowerShell execution policy controls which scripts are allowed to run. RemoteSigned allows local scripts and requires downloaded scripts to be signed.,Medium,Developer,Registry,research/records/developer.powershell-execution.json,Docs/tweaks/tweaks.md
developer.python-path-fix,Enable Windows Long Paths for Python Workflows,"Some Python environments fail on Windows when project folders get very deep. Enabling Windows long paths removes the old 260-character path limit for compatible applications, including Python workflows that rely on the operating system long-path setting.",Medium,Developer,Registry,research/records/developer.python-path-fix.review.json,Docs/tweaks/tweaks.md
developer.ssh-agent-autostart,SSH Agent Auto-start,ssh-agent keeps SSH keys loaded so Git and terminal sessions can use them more easily. Auto-starting it can make developer login sessions more convenient.,Medium,Developer,Registry,research/records/developer.ssh-agent-autostart.review.json,Docs/tweaks/tweaks.md
developer.terminal-dev-mode,Enable Windows Terminal Developer Features,Enables advanced features in Windows Terminal like debug tap and developer mode settings.,Safe,Developer,Registry,app/Services/TweakProviders/DeveloperTweakProvider.cs#L40,Docs/tweaks/tweaks.md
developer.vs-intellisense-cache,VS IntelliSense DisableAutoUpdating Setting,Writes the Visual Studio DisableAutoUpdating IntelliSense value used by this tweak.,Safe,Developer,Registry,app/Services/TweakProviders/DeveloperTweakProvider.cs#L26,Docs/tweaks/tweaks.md
developer.vs-solution-load,VS Solution BackgroundAnalysis Setting,Writes the Visual Studio BackgroundAnalysis solution-loading value used by this tweak.,Safe,Developer,Registry,app/Services/TweakProviders/DeveloperTweakProvider.cs#L70,Docs/tweaks/tweaks.md
developer.vscode-git-autofetch,Disable VS Code Git Autofetch,Disables automatic Git fetching in VS Code to reduce network usage and CPU spikes.,Safe,Developer,Registry,app/Services/TweakProviders/DeveloperTweakProvider.cs#L56,Docs/tweaks/tweaks.md
developer.windows-dev-mode,Windows Developer Mode,"Developer Mode turns on Windows support for building, sideloading, and debugging apps. Most casual users do not need it, but developers often do.",Medium,Developer,Registry,research/records/developer.windows-dev-mode.json,Docs/tweaks/tweaks.md
developer.wsl2-memory,WSL 2 Memory Limit,"WSL 2 can use a lot of RAM. Microsoft documents memory limits in .wslconfig, and this tweak writes that documented setting directly.",Medium,Developer,Registry,research/records/developer.wsl2-memory.json,Docs/tweaks/tweaks.md
explorer.always-show-icons-never-thumbnails,"Always Show Icons, Never Thumbnails",Explorer can show file icons instead of generating thumbnails.,Medium,Explorer,Registry,research/records/explorer.always-show-icons-never-thumbnails.review.json,Docs/visibility/visibility.md
explorer.disable-low-disk-space-warning,Low Disk Space Warning,"Windows can warn you when a drive is running low on space. People sometimes turn these warnings off on lab machines or kiosk-like systems, but most users should keep them on.",Medium,Explorer,Registry,research/records/explorer.disable-low-disk-space-warning.json,Docs/visibility/visibility.md
explorer.disable-taskbar-chat,Taskbar Chat Icon,Windows 11 can show a Chat icon on the taskbar. People often hide it when they do not use Chat or want a cleaner taskbar.,Medium,Explorer,Registry,research/records/explorer.disable-taskbar-chat.json,Docs/visibility/visibility.md
explorer.enable-explorer-compact-mode,Enable Explorer Compact View,"Explorer compact view reduces spacing between items so more files fit on screen. Some users like the denser layout, while others prefer the roomier default view.",Medium,Explorer,Registry,research/records/explorer.enable-explorer-compact-mode.review.json,Docs/visibility/visibility.md
explorer.hide-empty-drives,Hide Empty Drives,Explorer can hide or show drives that do not currently have media present.,Medium,Explorer,Registry,research/records/explorer.hide-empty-drives.review.json,Docs/visibility/visibility.md
explorer.launch-folder-windows-in-a-separate-process,Launch Folder Windows in a Separate Process,Explorer can run folder windows in the same process or split them into separate Explorer processes.,Medium,Explorer,Registry,research/records/explorer.launch-folder-windows-in-a-separate-process.review.json,Docs/visibility/visibility.md
explorer.show-compressed-and-encrypted-files-in-color,Show Compressed and Encrypted Files in Color,File Explorer can color compressed and encrypted NTFS items so they stand out visually.,Medium,Explorer,Registry,research/records/explorer.show-compressed-and-encrypted-files-in-color.review.json,Docs/visibility/visibility.md
explorer.show-drive-letters-first,Show Drive Letters First,"Explorer can show drive letters ahead of the drive name, or leave that presentation disabled.",Medium,Explorer,Registry,research/records/explorer.show-drive-letters-first.review.json,Docs/visibility/visibility.md
explorer.show-file-extensions,Show File Extensions,"File Explorer can hide or show file extensions like .txt, .zip, or .exe. Many advanced users prefer to always see them.",Medium,Explorer,Registry,research/records/explorer.show-file-extensions.review.json,Docs/visibility/visibility.md
explorer.show-full-path,Show Full Path in Explorer,Explorer can show the full folder path instead of a shorter title. Some advanced users prefer that when they navigate deep directories.,Medium,Explorer,Registry,research/records/explorer.show-full-path.review.json,Docs/visibility/visibility.md
explorer.show-hidden-files,Show Hidden Files and Folders,File Explorer can show or hide files and folders marked with the hidden attribute. Power users often enable this to inspect more of the filesystem.,Medium,Explorer,Registry,research/records/explorer.show-hidden-files.review.json,Docs/visibility/visibility.md
explorer.show-info-tips,Show Explorer Info Tips,File Explorer can show or suppress pop-up descriptions for folder and desktop items when you hover them.,Medium,Explorer,Registry,research/records/explorer.show-info-tips.review.json,Docs/visibility/visibility.md
explorer.show-protected-operating-system-files,Show Protected Operating System Files,"File Explorer can hide or reveal protected operating system files. Most people should leave them hidden, but advanced troubleshooting sometimes requires seeing them.",Medium,Explorer,Registry,research/records/explorer.show-protected-operating-system-files.review.json,Docs/visibility/visibility.md
explorer.show-recent-items,Show Recent Items In Home,Explorer Home can show or hide recently used files.,Medium,Explorer,Registry,research/records/explorer.show-recent-items.review.json,Docs/visibility/visibility.md
explorer.show-status-bar,Show Status Bar,Explorer can show or hide its status bar at the bottom of the window.,Medium,Explorer,Registry,research/records/explorer.show-status-bar.review.json,Docs/visibility/visibility.md
explorer.show-type-overlay,Display File Icons On Thumbnails,Explorer can show or hide file icons on top of thumbnails.,Medium,Explorer,Registry,research/records/explorer.show-type-overlay.review.json,Docs/visibility/visibility.md
explorer.taskbar-alignment-left,Taskbar Alignment,Windows 11 can keep the taskbar icons centered or move them to the left. Some people prefer the older left-aligned layout.,Medium,Explorer,Registry,research/records/explorer.taskbar-alignment-left.review.json,Docs/visibility/visibility.md
misc.disable-edge-features,Disable Microsoft Edge Features,"Disables telemetry, personalization, sync, sidebar, shopping, rewards, and various other Edge features. Also disables Windows 8/8.1 EdgeUI features.",Advanced,Misc,Registry,engine/Tweaks/Misc/DisableEdgeFeaturesTweaks.cs#L88,Docs/misc/misc.md
misc.disable-office-telemetry,Disable Microsoft Office Telemetry,"Disables Office telemetry logging, data collection, CEIP opt-in, feedback collection, and telemetry agent tasks for all Office applications.",Safe,Misc,Registry,engine/Tweaks/Misc/DisableOfficeTelemetryTweak.cs#L51,Docs/misc/misc.md
misc.disable-onedrive,Disable OneDrive,"Writes OneDrive policy and Explorer values that disable default-save and sync features, set PreventNetworkTrafficPreUserSignIn, and unpin OneDrive from File Explorer.",Advanced,Misc,Registry,engine/Tweaks/Misc/DisableOneDriveTweaks.cs#L36,Docs/misc/misc.md
misc.disable-visual-studio-telemetry,Disable Visual Studio Telemetry,"Disables Visual Studio telemetry, SQM data collection, IntelliCode remote analysis, and feedback features for VS 2015-2022.",Safe,Misc,Registry,engine/Tweaks/Misc/DisableVisualStudioTelemetryTweak.cs#L37,Docs/misc/misc.md
misc.optimize-7zip-settings,Configure 7-Zip Context Menu Settings,"Sets the 7-Zip context-menu values for CascadedMenu, ElimDupExtract, MenuIcons, and WriteZoneIdExtract.",Safe,Misc,Registry,engine/Tweaks/Misc/SevenZipSettingsTweak.cs#L54,Docs/misc/misc.md
network.disable-active-probing,NCSI Active Probing Policy,Windows checks internet connectivity by making active test requests. Turning those tests off can change how Windows decides whether a network has internet access.,Medium,Network,Registry,research/records/network.disable-active-probing.review.json,Docs/network/network.md
network.disable-default-shares,Automatic Administrative Shares,Windows automatically creates hidden administrative shares such as C$ and ADMIN$. This setting decides whether those built-in shares are created automatically.,Medium,Network,Registry,research/records/network.disable-default-shares.json,Docs/network/network.md
network.disable-ipv6,IPv6 Stack Disable Override,IPv6 is the newer network protocol stack that Windows expects to have available. Turning it off can break some network features even if a home network mostly feels like IPv4.,Medium,Network,Registry,research/records/network.disable-ipv6.json,Docs/network/network.md
network.disable-llmnr,Link-Local Multicast Name Resolution (LLMNR),"LLMNR lets Windows ask nearby devices for names on the local subnet when normal DNS does not help. Modern networks often disable it, but it can still help in some small or legacy local networks.",Medium,Network,Registry,research/records/network.disable-llmnr.json,Docs/network/network.md
network.disable-lltd,Set LLTD Policies to Default Behavior,LLTD is part of the older Windows network discovery stack. This tweak disables the explicit LLTD mapper and responder policies so Windows falls back to the documented default LLTD behavior.,Medium,Network,Registry,research/records/network.disable-lltd.review.json,Docs/network/network.md
network.disable-mdns,Set mDNS Policy to Local Settings,mDNS is a local-network name resolution protocol used by some discovery and service-advertising workflows. This policy setting disables the explicit mDNS policy so Windows falls back to its locally configured mDNS behavior.,Medium,Network,Registry,research/records/network.disable-mdns.review.json,Docs/network/network.md
network.disable-netbios,Disable NetBIOS over TCP/IP,Disables NetBIOS over TCP/IP on all IP-enabled adapters using the documented per-interface Windows control surface.,Advanced,Network,Command,engine/Tweaks/Commands/Network/DisableNetbiosOverTcpIpTweak.cs#L22,Docs/network/network.md
network.disable-netbios-resolution,DNS Client NetBIOS Name Resolution,"Windows can use NetBIOS-style name resolution through the DNS client policy layer. This policy lets you fully disable it, allow it, or choose more limited modes.",Medium,Network,Registry,research/records/network.disable-netbios-resolution.json,Docs/network/network.md
network.disable-plaintext-smb-passwords,Plaintext SMB Passwords,This setting decides whether Windows is willing to send an unencrypted password to certain old SMB servers. Modern systems should almost never need that behavior.,Medium,Network,Registry,research/records/network.disable-plaintext-smb-passwords.json,Docs/network/network.md
network.disable-smart-name-resolution,Smart Multi-Homed Name Resolution,"When a PC has multiple network paths, Windows can try name lookups more aggressively across them. This policy decides whether that smart multi-homed behavior stays on.",Medium,Network,Registry,research/records/network.disable-smart-name-resolution.json,Docs/network/network.md
network.disable-smb1,SMBv1 Server Protocol Support,"SMB is the file-sharing protocol Windows uses for network shares. SMBv1 is the old version. Modern systems should avoid it, but some very old devices still need it.",Medium,Network,Registry,research/records/network.disable-smb1.json,Docs/network/network.md
network.disable-smb2,SMBv2 and SMBv3 Server Protocol Support,SMBv2 and SMBv3 are the modern Windows file-sharing protocols. Turning them off forces the machine away from the normal modern SMB stack.,Medium,Network,Registry,research/records/network.disable-smb2.json,Docs/network/network.md
network.disable-wifi-sense,Wi-Fi Sense Suggested Hotspot Policy,"This controls whether Windows can automatically connect to suggested open hotspots, contact-shared networks, and some paid hotspot discovery flows.",Medium,Network,Registry,research/records/network.disable-wifi-sense.json,Docs/network/network.md
network.enable-lltd-responder,LLTD Responder Driver Policy,The LLTD Responder lets other PCs discover this device on the local network during Windows network mapping and related discovery tasks.,Medium,Network,Registry,research/records/network.enable-lltd-responder.json,Docs/network/network.md
network.enable-lltdio,LLTD Mapper I/O Driver Policy,LLTD helps Windows map and discover devices on a local network. The Mapper I/O side lets the PC ask the network about its topology.,Medium,Network,Registry,research/records/network.enable-lltdio.json,Docs/network/network.md
network.flush-dns-cache,Flush DNS Cache,Clears the DNS resolver cache. This is a one-time operation and has no rollback state.,Safe,Network,Command,engine/Tweaks/Commands/Network/FlushDnsCacheTweak.cs#L13,Docs/network/network.md
network.optimize-smb,Configure SMB Workstation Parameters,Writes the SMB workstation bandwidth-throttling and cache-lifetime values used by this tweak.,Safe,Network,Registry,app/Services/TweakProviders/NetworkTweakProvider.cs#L20,Docs/network/network.md
network.prefer-ipv4,IPv4 Preference Override,This keeps IPv6 available but tells Windows to prefer IPv4 when both protocols can work.,Medium,Network,Registry,research/records/network.prefer-ipv4.json,Docs/network/network.md
network.require-ntlm-ssp-client-session-security,Require NTLM SSP Client Session Security and 128-bit Encryption,This setting raises the minimum session security requirements for NTLM SSP based clients. In the app's enabled state it requires both NTLMv2 session security and 128-bit encryption.,Medium,Network,Registry,research/records/network.require-ntlm-ssp-client-session-security.review.json,Docs/network/network.md
network.reset-winsock,Reset Winsock Catalog,Resets the Winsock catalog to default settings. Requires a system restart to fully apply.,Advanced,Network,Command,engine/Tweaks/Commands/Network/ResetNetworkStackTweak.cs#L13,Docs/network/network.md
network.smb-disable-leasing,SMB: Disable Leasing,Disables SMB server leasing using the documented SMB server configuration surface.,Advanced,Network,Command,engine/Tweaks/Commands/Network/DisableSmbLeasingTweak.cs#L18,Docs/network/network.md
network.smb-enable-large-mtu,SMB Client Large MTU,Large MTU lets SMB send larger requests over the network. On modern Windows networks this usually helps file-copy and share performance.,Medium,Network,Registry,research/records/network.smb-enable-large-mtu.json,Docs/network/network.md
network.smb-enable-multichannel,SMB: Enable Multichannel,Enables SMB Multichannel on the documented SMB client and SMB server configuration surfaces.,Advanced,Network,Command,engine/Tweaks/Commands/Network/EnableSmbMultichannelTweak.cs#L19,Docs/network/network.md
network.smb-enable-quic,SMB over QUIC,SMB over QUIC lets Windows use SMB through QUIC instead of normal TCP in supported scenarios. It is a newer transport option and not a normal baseline tweak for most people.,Medium,Network,Registry,research/records/network.smb-enable-quic.review.json,Docs/network/network.md
network.smb-encrypt-data,SMB Server Encryption Requirement,SMB encryption protects file-sharing traffic so other systems on the network cannot easily read it in transit. Turning this on at the server level makes the machine stricter about how its shared data is accessed.,Medium,Network,Registry,research/records/network.smb-encrypt-data.json,Docs/network/network.md
network.smb-increase-client-metadata-cache,SMB Client Metadata Cache Size Bundle,These values control how much SMB client metadata Windows caches and how many outstanding SMB requests it allows.,Medium,Network,Registry,research/records/network.smb-increase-client-metadata-cache.json,Docs/network/network.md
network.smb-reject-unencrypted-access,SMB Server Reject Unencrypted Access,This setting makes the SMB server reject clients that try to access shares without encryption. It is stricter than simply preferring safer behavior because noncompliant clients are actively refused.,Medium,Network,Registry,research/records/network.smb-reject-unencrypted-access.json,Docs/network/network.md
network.smb-require-dialect-3_1_1,Require SMB Dialect 3.1.1,This setting forces both SMB client and SMB server components to use only SMB 3.1.1. It is a strict compatibility boundary and can quickly block older devices or software that do not support that dialect.,Medium,Network,Registry,research/records/network.smb-require-dialect-3_1_1.review.json,Docs/network/network.md
network.smb-require-signing-client,SMB Client Signing Requirement,SMB signing helps Windows verify that network file-sharing traffic was not altered in transit. Requiring it makes the SMB client stricter when talking to servers.,Medium,Network,Registry,research/records/network.smb-require-signing-client.json,Docs/network/network.md
network.smb-require-signing-server,SMB Server Signing Requirement,SMB signing helps Windows verify that file-sharing traffic was not tampered with. Requiring it on the server side makes the machine stricter about inbound SMB connections.,Medium,Network,Registry,research/records/network.smb-require-signing-server.json,Docs/network/network.md
network.smb-set-cipher-suite-order,SMB Cipher Suite Order,This setting controls which SMB encryption cipher suites are preferred and in what order. It matters mostly for advanced SMB hardening or specific compliance requirements.,Medium,Network,Registry,research/records/network.smb-set-cipher-suite-order.review.json,Docs/network/network.md
notifications.disable-feedback-frequency,Windows Feedback Request Frequency,Windows can occasionally ask for feedback. This tweak sets a user preference intended to reduce or stop those requests.,Medium,Notifications,Registry,research/records/notifications.disable-feedback-frequency.review.json,Docs/notifications/notifications.md
notifications.disable-lock-screen,Lock Screen Toast Notifications,Windows can show some app notifications directly on the lock screen. This policy decides whether apps can raise those lock-screen toast alerts for the current user.,Medium,Notifications,Registry,research/records/notifications.disable-lock-screen.json,Docs/notifications/notifications.md
notifications.disable-mirroring,Notification Mirroring,Windows can mirror some notifications to other devices. This policy decides whether that cross-device mirroring is allowed for the current user.,Medium,Notifications,Registry,research/records/notifications.disable-mirroring.json,Docs/notifications/notifications.md
notifications.disable-tile,Tile Notifications,Tile notifications are the live updates and badges some Windows tiles can show. This policy decides whether those tile updates are allowed for the current user.,Medium,Notifications,Registry,research/records/notifications.disable-tile.json,Docs/notifications/notifications.md
notifications.disable-toast,Toast Notifications,Toast notifications are the pop-up alerts apps show in Windows. This policy decides whether apps can raise those pop-ups for the current user.,Medium,Notifications,Registry,research/records/notifications.disable-toast.json,Docs/notifications/notifications.md
performance.disable-animations,Disable Window Animations,"Windows can animate windows when they open, close, minimize, or restore. Turning that off reduces motion and makes transitions appear more immediate.",Medium,Performance,Registry,research/records/performance.disable-animations.review.json,Docs/performance/performance.md
performance.disable-menu-show-delay,Remove Menu Show Delay,Windows can wait a short moment before showing some menus. Setting the delay lower makes menus appear sooner after the pointer reaches them.,Medium,Performance,Registry,research/records/performance.disable-menu-show-delay.review.json,Docs/performance/performance.md
performance.disable-taskbar-animations,Taskbar Animations,This controls whether Windows animates taskbar transitions. People turn it off when they want a less animated desktop.,Medium,Performance,Registry,research/records/performance.disable-taskbar-animations.review.json,Docs/performance/performance.md
peripheral.audio-disable-ducking,Disable Audio Ducking,Disables Windows automatic volume adjustment when making calls or using communication apps. Equivalent to 'Do nothing' in Sound settings.,Safe,Peripheral,Registry,engine/Tweaks/Peripheral/AudioTweaks.cs#L24,Docs/peripheral/peripheral.md
peripheral.autoplay-take-no-action,AutoPlay Event Default Action,Windows can remember what to do when a device or media arrives. This tweak tries to change those remembered choices so common AutoPlay events take no action.,Medium,Peripheral,Registry,research/records/peripheral.autoplay-take-no-action.review.json,Docs/peripheral/peripheral.md
peripheral.disable-autoplay,Disable AutoPlay,"AutoPlay decides what Windows does when media or devices are connected. Turning it off stops Windows from automatically offering or launching actions when drives, cameras, or phones appear.",Medium,Peripheral,Registry,research/records/peripheral.disable-autoplay.review.json,Docs/peripheral/peripheral.md
peripheral.disable-sticky-keys-prompt,Disable Sticky Keys Prompt,Sticky Keys can show a prompt when Shift is pressed repeatedly. Some users turn that off to avoid accidental popups while gaming or typing quickly.,Medium,Peripheral,Registry,research/records/peripheral.disable-sticky-keys-prompt.review.json,Docs/peripheral/peripheral.md
peripheral.keyboard-disable-language-hotkey,Disable Language Switch Hotkey,Disables the Ctrl+Shift and Alt+Shift language-switch hotkeys.,Safe,Peripheral,Registry,engine/Tweaks/Peripheral/KeyboardTweaks.cs#L52,Docs/peripheral/peripheral.md
peripheral.keyboard-optimize-repeat,Set Keyboard Repeat and Cursor Blink Values,"Sets keyboard repeat delay to 0, repeat speed to 31, and cursor blink interval to 900 ms.",Safe,Peripheral,Registry,engine/Tweaks/Peripheral/KeyboardTweaks.cs#L27,Docs/peripheral/peripheral.md
peripheral.mouse-disable-acceleration,Disable Enhanced Pointer Precision (Mouse Acceleration),Disables Enhanced Pointer Precision by setting mouse speed and threshold values to their non-accelerated configuration.,Safe,Peripheral,Registry,engine/Tweaks/Peripheral/MouseTweaks.cs#L55,Docs/peripheral/peripheral.md
peripheral.mouse-disable-throttle,Disable Mouse Throttling for Background Windows,Disables raw mouse input throttling for background windows and sets the associated throttle duration and leeway values.,Safe,Peripheral,Registry,engine/Tweaks/Peripheral/MouseTweaks.cs#L27,Docs/peripheral/peripheral.md
policy.system.enable-virtualization,Enable Virtualization,Enable Virtualization controls legacy UAC file and registry virtualization under the Policies\System branch.,Medium,Policy,Registry,research/records/policy.system.enable-virtualization.json,Docs/tweaks/tweaks.md
power.control.allow-audio-to-enable-execution-required-power-requests,Allow Audio To Enable Execution Required Power Requests,"This appears to be a kernel-adjacent Control Power setting tied to whether active audio can enable execution-required power requests. It is being tracked as a research candidate, not a user-facing tweak.",Medium,Power,Registry,research/records/power.control.allow-audio-to-enable-execution-required-power-requests.json,Docs/power/power.md
power.control.allow-system-required-power-requests,Allow System Required Power Requests,"This appears to be a kernel-adjacent Control Power setting tied to how the power manager treats system-required power requests. It is being tracked as a research candidate, not a user-facing tweak.",Medium,Power,Registry,research/records/power.control.allow-system-required-power-requests.json,Docs/power/power.md
power.control.class1-initial-unpark-count,Class1 Initial Unpark Count,Class1 Initial Unpark Count is a low-level power-manager registry value under the main Power key.,Medium,Power,Registry,research/records/power.control.class1-initial-unpark-count.json,Docs/power/power.md
power.control.hiber-file-size-percent,Hiber File Size Percent,Hiber File Size Percent is a low-level power-manager value under the main Power key that appears to relate to hibernation file sizing behavior.,Medium,Power,Registry,research/records/power.control.hiber-file-size-percent.json,Docs/power/power.md
power.control.lid-reliability-state,Lid Reliability State,Lid Reliability State is a low-level power-manager registry value under the main Power key.,Medium,Power,Registry,research/records/power.control.lid-reliability-state.json,Docs/power/power.md
power.control.mf-buffering-threshold,MF Buffering Threshold,MF Buffering Threshold is a low-level power-manager registry value under the main Power key.,Medium,Power,Registry,research/records/power.control.mf-buffering-threshold.json,Docs/power/power.md
