id,name,category,risk,coverage_state,has_nohuto_evidence,has_windows_internals_context,needs_review,source_repositories,matched_tokens,summary
cleanup.windows-old,Delete Windows.old Folder,Cleanup,Risky,repo-backed,yes,no,no,win-config,windows.old;previous version of windows,Mapped to nohuto Windows.old cleanup guidance and the official Microsoft rollback warning.
cleanup.windows-update-cache,Clear Windows Update Cache,Cleanup,Advanced,repo-backed,yes,no,no,win-config,windows update cache;softwaredistribution;catroot2,Mapped to the exact nohuto cleanup section for SoftwareDistribution and catroot2 reset paths.
developer.terminal-dev-mode,Enable Windows Terminal Developer Features,Developer,Safe,repo-backed,yes,no,no,win-config,terminal,Matched 1 audit token(s) across win-config. These links show where the name came from. Value semantics still come from the research record.
developer.vs-intellisense-cache,VS IntelliSense DisableAutoUpdating Setting,Developer,Safe,repo-backed,yes,no,no,win-config,visualstudio,Matched 1 audit token(s) across win-config. These links show where the name came from. Value semantics still come from the research record.
developer.vs-solution-load,VS Solution BackgroundAnalysis Setting,Developer,Safe,repo-backed,yes,no,no,win-config,visualstudio,Matched 1 audit token(s) across win-config. These links show where the name came from. Value semantics still come from the research record.
developer.vscode-git-autofetch,Disable VS Code Git Autofetch,Developer,Safe,repo-backed,yes,no,no,win-config,explorer;advanced,Matched 2 audit token(s) across win-config. These links show where the name came from. Value semantics still come from the research record.
misc.disable-edge-features,Disable Microsoft Edge Features,Misc,Advanced,repo-backed,yes,no,no,win-config,disables;telemetry;personalization;sync;sidebar;shopping;rewards;other;edge;features;also;edgeui;various,Matched 13 audit token(s) across win-config. These links show where the name came from. Value semantics still come from the research record.
misc.disable-office-telemetry,Disable Microsoft Office Telemetry,Misc,Safe,repo-backed,yes,no,no,win-config,office telemetry;osm;preventedapplications,Mapped to nohuto Office telemetry guidance and Microsoft's Office telemetry privacy documentation.
misc.disable-onedrive,Disable OneDrive,Misc,Advanced,repo-backed,yes,no,no,win-config,disable onedrive,Matched 1 audit token(s) across win-config. These links show where the name came from. Value semantics still come from the research record.
misc.disable-visual-studio-telemetry,Disable Visual Studio Telemetry,Misc,Safe,repo-backed,yes,no,no,win-config,visual studio telemetry;sqm;feedback,"Mapped to the exact nohuto section for Visual Studio telemetry, feedback, and SQM-related registry controls."
misc.optimize-7zip-settings,Configure 7-Zip Context Menu Settings,Misc,Safe,repo-backed,yes,no,no,win-config,7-zip;cascadedmenu;elimdupextract;menuicons;writezoneidextract,Mapped to the exact nohuto 7-Zip settings section and its documented HKCU\\Software\\7-Zip\\Options values.
network.disable-netbios,Disable NetBIOS over TCP/IP,Network,Advanced,repo-backed,yes,yes,no,win-config,disable;netbios;over;disables;enabled;adapters;using;interface;surface;documented,Matched 10 audit token(s) across win-config. These links show where the name came from. Value semantics still come from the research record.
network.flush-dns-cache,Flush DNS Cache,Network,Safe,repo-backed,yes,yes,no,win-config,dns cache;flushdns;ipconfig,Mapped to nohuto DNS cache cleanup guidance and the official ipconfig /flushdns reference.
network.optimize-smb,Configure SMB Workstation Parameters,Network,Safe,repo-backed,yes,yes,no,win-config,lanmanworkstation,Matched 1 audit token(s) across win-config. These links show where the name came from. Value semantics still come from the research record.
network.reset-winsock,Reset Winsock Catalog,Network,Advanced,category-fallback,yes,yes,yes,win-config,,"Official Microsoft netsh winsock documentation is linked, but this tweak stays review-only until a nohuto repo documents it directly."
network.smb-disable-leasing,SMB: Disable Leasing,Network,Advanced,category-fallback,yes,yes,yes,win-config,,"Linked to the closest upstream win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
network.smb-enable-multichannel,SMB: Enable Multichannel,Network,Advanced,category-fallback,yes,yes,yes,win-config,,"Linked to the closest upstream win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
peripheral.audio-disable-ducking,Disable Audio Ducking,Peripheral,Safe,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,audio ducking;userduckingpreference,Mapped to the exact nohuto Audio Ducking section and its UserDuckingPreference behavior.
peripheral.audio-disable-enhancements,Disable Audio Enhancements,Peripheral,Safe,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,disable audio enhancements,"Matched 1 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
peripheral.keyboard-disable-language-hotkey,Disable Language Switch Hotkey,Peripheral,Safe,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,disable language switch hotkey,"Matched 1 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
peripheral.keyboard-optimize-repeat,Set Keyboard Repeat and Cursor Blink Values,Peripheral,Safe,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,keyboard values;keyboarddelay;keyboardspeed;cursorblinkrate,"Mapped to nohuto keyboard value documentation for repeat delay, repeat speed, and related typing behavior."
peripheral.mouse-disable-acceleration,Disable Enhanced Pointer Precision (Mouse Acceleration),Peripheral,Safe,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,mouse values;mousespeed;mousethreshold1;mousethreshold2;mousesensitivity,"Mapped to nohuto mouse value documentation for acceleration, thresholds, and sensitivity settings."
peripheral.mouse-disable-throttle,Disable Mouse Throttling for Background Windows,Peripheral,Safe,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,mouse values;rawmousethrottleenabled;rawmousethrottleduration;rawmousethrottleleeway,Mapped to nohuto mouse value documentation for raw mouse throttling registry values.
power.disable-cpu-idle-states,Disable CPU Idle States (C-States),Power,Advanced,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,writes;idle;state;related;power;registry;values;used;this;tweak;changes;behavior;increase;draw,"Matched 14 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
power.disable-cpu-parking,Disable CPU Core Parking,Power,Safe,repo-backed,yes,yes,no,win-config;decompiled-pseudocode;win-registry,writes;core;parking;related;power;registry;values;used;this;including;latencytoleranceparked;latencytolerancesoftparked;class1initialunparkcount;multiparkgranularity;tweak;power values,Mapped to nohuto power-value research for core parking fields such as Class1InitialUnparkCount and MultiparkGranularity.
power.disable-fast-startup,Disable Fast Startup (Hiberboot),Power,Safe,category-fallback,yes,yes,yes,win-config;decompiled-pseudocode,,"Linked to the closest upstream win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
power.disable-hibernation,Disable Hibernation,Power,Safe,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,disable hibernation;runs;powercfg;hibernate;this;disables;hibernation;removes;hiberfil,"Matched 9 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
power.disable-network-power-saving,Disable Network Adapter Power Saving,Power,Safe,repo-backed,yes,yes,no,win-config;win-registry;decompiled-pseudocode,tcpip;multimedia;systemprofile;networkthrottlingindex;systemresponsiveness,"Matched 5 audit token(s) across win-config, win-registry, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
power.disable-power-throttling,Disable Power Throttling,Power,Safe,repo-backed,yes,yes,no,win-config;decompiled-pseudocode;win-registry,powerthrottlingoff;power throttling,Mapped to nohuto power-value research for the PowerThrottlingOff policy value.
power.disable-superfetch,Disable Superfetch (SysMain),Power,Safe,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,sysmain;superfetch;enableprefetcher,"Mapped to the exact nohuto SysMain section, with Windows Internals context for Superfetch and prefetch behavior."
power.disable-windows-search,Disable Windows Search,Power,Advanced,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,disable windows search,"Matched 1 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
power.optimize-cpu-boost,Apply Processor Performance Registry Bundle,Power,Safe,repo-backed,yes,yes,no,win-config;decompiled-pseudocode;win-registry,writes;perfboostatguaranteed;highperfdurationboot;latencytolerancedefault;perfcalculateactualutilization;values;under;power,"Mapped to nohuto power-value research for PerfBoostAtGuaranteed, HighPerfDurationBoot, and related boost fields."
power.optimize-gaming-network,Set MMCSS Games Task Profile,Power,Safe,category-fallback,yes,yes,yes,win-config;decompiled-pseudocode,,"Linked to the closest upstream win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
power.optimize-performance,Apply Grouped Power-Control Registry Bundle,Power,Advanced,repo-backed,yes,yes,no,win-config;decompiled-pseudocode;win-registry,power;coalescingtimerinterval;deepiocoalescingenabled;eventprocessorenabled;latencytoleranceparked;latencytolerancesoftparked;energyestimationenabled,"Mapped to nohuto power-value research covering timer coalescing, deep IO coalescing, parking, and energy-estimation fields."
privacy.deny-app-access,Deny App Access (Except Microphone),Privacy,Risky,repo-backed,yes,no,no,win-config,policies;allowuserinfoaccess;appprivacy;letappsaccessaccountinfo;letappsaccesscalendar;letappsaccesscallhistory;letappsaccesscamera;letappsaccesscontacts;letappsaccessemail;letappsaccessgraphicscaptureprogrammatic;letappsaccessgraphicscapturewithoutborder;letappsaccesshumanpresence;letappsaccesslocation;letappsaccessmessaging;letappsaccessmicrophone;letappsaccessmotion;letappsaccessnotifications;letappsaccessphone;letappsaccessradios;letappssyncwithdevices;letappsaccesstasks;letappsaccesstrusteddevices;letappsruninbackground;letappsgetdiagnosticinfo;letappsaccessgazeinput;letappsactivatewithvoice;letappsactivatewithvoiceabovelock;letappsaccessbackgroundspatialperception,Matched 28 audit token(s) across win-config. These links show where the name came from. Value semantics still come from the research record.
privacy.disable-application-compatibility,Disable Application Compatibility,Privacy,Risky,repo-backed,yes,no,no,win-config,disable application compatibility,Matched 1 audit token(s) across win-config. These links show where the name came from. Value semantics still come from the research record.
privacy.disable-ceip,Disable CEIP,Privacy,Advanced,repo-backed,yes,no,no,win-config,disable ceip,Matched 1 audit token(s) across win-config. These links show where the name came from. Value semantics still come from the research record.
privacy.disable-cross-device-experiences,Cross-Device Sharing,Privacy,Advanced,category-fallback,yes,no,yes,win-config,,"Linked to the closest upstream win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
privacy.disable-f1-help,Disable F1 Help,Privacy,Advanced,repo-backed,yes,no,no,win-config,disable f1 help,Matched 1 audit token(s) across win-config. These links show where the name came from. Value semantics still come from the research record.
privacy.disable-find-my-device,Disable Find My Device,Privacy,Safe,repo-backed,yes,no,no,win-config,disable find my device,Matched 1 audit token(s) across win-config. These links show where the name came from. Value semantics still come from the research record.
privacy.disable-inking-typing-personalization,Disable Inking & Typing Personalization,Privacy,Advanced,repo-backed,yes,no,no,win-config;win-registry,policies;textinput;allowlinguisticdatacollection;windowsinkworkspace;allowsuggestedappsinwindowsinkworkspace;allowwindowsinkworkspace,"Matched 6 audit token(s) across win-config, win-registry. These links show where the name came from. Value semantics still come from the research record."
privacy.disable-offline-files,Disable Offline Files,Privacy,Advanced,repo-backed,yes,no,no,win-config,disable offline files,Matched 1 audit token(s) across win-config. These links show where the name came from. Value semantics still come from the research record.
privacy.disable-sleep-study-diagnostics,Disable Sleep Study Diagnostics,Privacy,Advanced,repo-backed,yes,no,no,win-config;decompiled-pseudocode,winevt;channels;sleepstudy;diagnostic;enabled;kernel;processor;power;usermodepowerservice,"Matched 9 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
privacy.disable-suggestions,Disable Suggestions & Tips,Privacy,Safe,repo-backed,yes,no,no,win-config,contentdeliverymanager,Matched 1 audit token(s) across win-config. These links show where the name came from. Value semantics still come from the research record.
privacy.disable-suggestions-cdm,Disable Content Delivery Manager Suggestions,Privacy,Safe,repo-backed,yes,no,no,win-config,contentdeliverymanager,Matched 1 audit token(s) across win-config. These links show where the name came from. Value semantics still come from the research record.
privacy.disable-wmplayer-telemetry,Disable Windows Media Player Telemetry,Privacy,Advanced,repo-backed,yes,no,no,win-config;win-registry,mediaplayer;preferences,"Matched 2 audit token(s) across win-config, win-registry. These links show where the name came from. Value semantics still come from the research record."
security.disable-system-mitigations,Disable System Mitigations,Security,Risky,category-fallback,yes,yes,yes,win-config,,"Linked to the closest upstream win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
security.disable-uac,Disable UAC (Full),Security,Risky,category-fallback,yes,yes,yes,win-config,,"Linked to the closest upstream win-config category docs, but this tweak still needs a stronger tweak-specific upstream match before being considered fully curated."
system.disable-service-splitting,Disable Service Splitting,System,Advanced,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,svchostsplitthresholdinkb,"Matched 1 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
system.dwm-disable-mpo,DWM: Disable Multiplane Overlay (MPO),System,Advanced,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,overlaytestmode,"Matched 1 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
system.graphics-disable-overlays,Graphics: Disable Overlay Planes,System,Advanced,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,graphicsdrivers;disableoverlays,"Matched 2 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
system.graphics-page-fault-debug-mode,Graphics: Page Fault Debug Mode,System,Advanced,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,graphicsdrivers;pagefaultdebugmode,"Matched 2 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
system.kernel-adjust-dpc-threshold,Kernel: Adjust DPC Threshold,System,Advanced,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,session;manager;kernel;adjustdpcthreshold,"Matched 4 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
system.kernel-cache-aware-scheduling,Kernel: Cache-Aware Scheduling,System,Advanced,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,session;manager;kernel;cacheawarescheduling,"Matched 4 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
system.kernel-default-dynamic-hetero-cpu-policy,Kernel: Default Dynamic Hetero CPU Policy,System,Advanced,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,session;manager;kernel;defaultdynamicheterocpupolicy,"Matched 4 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
system.kernel-disable-low-qos-timer-resolution,Kernel: Disable Low QoS Timer Resolution,System,Advanced,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,session;manager;kernel;disablelowqostimerresolution,"Matched 4 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
system.kernel-dpc-queue-depth,Kernel: DPC Queue Depth,System,Advanced,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,session;manager;kernel;dpcqueuedepth,"Matched 4 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
system.kernel-dpc-watchdog-period,Kernel: DPC Watchdog Period,System,Advanced,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,session;manager;kernel;dpcwatchdogperiod,"Matched 4 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
system.kernel-ideal-dpc-rate,Kernel: Ideal DPC Rate,System,Advanced,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,session;manager;kernel;idealdpcrate,"Matched 4 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
system.kernel-minimum-dpc-rate,Kernel: Minimum DPC Rate,System,Advanced,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,session;manager;kernel;minimumdpcrate,"Matched 4 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
system.kernel-serialize-timer-expiration,Kernel: Serialize Timer Expiration,System,Advanced,repo-backed,yes,yes,no,win-config;decompiled-pseudocode,session;manager;kernel;serializetimerexpiration,"Matched 4 audit token(s) across win-config, decompiled-pseudocode. These links show where the name came from. Value semantics still come from the research record."
